,statenum,year,disease,m_rate,p_urb,lnm_rate
421,California,1932.0,2,0.00088703196,72.840004,-7.0276294
422,California,1932.0,3,8.607046e-06,72.840004,-11.66293
423,California,1932.0,4,0.0008531101,72.840004,-7.066622
424,California,1932.0,5,0.00021483861,72.840004,-8.445623
425,California,1932.0,6,0.0012507219,72.840004,-6.6840343
426,California,1932.0,7,0.002759655,72.840004,-5.8926497
427,California,1933.0,1,460.0,72.61,6.1312265
428,California,1933.0,2,0.00077627,72.61,-7.1610103
429,California,1933.0,3,1.355497e-05,72.61,-11.208757
430,California,1933.0,4,0.0007658558,72.61,-7.1745167
431,California,1933.0,5,0.00022249988,72.61,-8.410584
432,California,1933.0,6,0.0012625959,72.61,-6.6745853
433,California,1933.0,7,0.0028701823,72.61,-5.8533797
434,California,1934.0,1,430.00003,72.380005,6.063785
435,California,1934.0,2,0.00064825406,72.380005,-7.341228
436,California,1934.0,3,1.3444549e-05,72.380005,-11.216937
437,California,1934.0,4,0.00074738736,72.380005,-7.198927
438,California,1934.0,5,0.00020911943,72.380005,-8.472605
439,California,1934.0,6,0.0012807958,72.380005,-6.6602736
440,California,1934.0,7,0.0028858806,72.380005,-5.847925
441,California,1935.0,1,450.0,72.15,6.1092477
442,California,1935.0,2,0.0007396505,72.15,-7.209333
443,California,1935.0,3,1.0639026e-05,72.15,-11.450981
444,California,1935.0,4,0.0007139263,72.15,-7.244731
445,California,1935.0,5,0.00023247066,72.15,-8.366747
446,California,1935.0,6,0.0013289255,72.15,-6.6233845
447,California,1935.0,7,0.003126762,72.15,-5.7677574
448,California,1936.0,1,469.99997,71.92,6.152733
449,California,1936.0,2,0.00084417785,71.92,-7.0771475
450,California,1936.0,3,1.494947e-05,71.92,-11.110835
451,California,1936.0,4,0.0007188203,71.92,-7.2378993
452,California,1936.0,5,0.0002233077,71.92,-8.40696
453,California,1936.0,6,0.0013586888,71.92,-6.6012354
454,California,1936.0,7,0.0031546496,71.92,-5.7588778
455,California,1937.0,1,410.0,71.69,6.016157
